Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCA_000024825.1	ASM2482v1	Vibrio antiquarius	150340		EX25					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	5089025	Complete Genome	2009-11-03		3259580	3259580	2		99.98	0.26
GCF_000024825.1	ASM2482v1	Vibrio antiquarius	150340		EX25					GCF_000024825.1-RS_2024_04_22	5089025	Complete Genome	2009-11-03		3259580	3259580	2		99.98	0.26
GCA_009938225.1	ASM993822v1	Vibrio ponticus	265668		DSM 16217						4796932	Complete Genome	2020-01-06		3215656	3215656	3	Illumina MiSeq; ONT MinION	98.36	1.67
GCF_009938225.1	ASM993822v1	Vibrio ponticus	265668		DSM 16217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4796932	Complete Genome	2020-01-06		3215656	3215656	3	Illumina MiSeq; ONT MinION	98.36	1.67
GCA_024347055.1	ASM2434705v1	Vibrio porteresiae DSM 19223	1123496		MSSRF30						5501118	Complete Genome	2022-07-13		3625884	3625884	2	Illumina MiSeq and Nanopore	96.88	4.56
GCF_024347055.1	ASM2434705v1	Vibrio porteresiae DSM 19223	1123496		MSSRF30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5501118	Complete Genome	2022-07-13		3625884	3625884	2	Illumina MiSeq and Nanopore	96.88	4.56
GCA_024347495.1	ASM2434749v1	Vibrio gallaecicus	552386		CECT 7244						5126655	Complete Genome	2022-07-13		3292782	3292782	2	Illumina MiSeq; Nanopore	99.95	1.85
GCF_024347495.1	ASM2434749v1	Vibrio gallaecicus	552386		CECT 7244					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5126655	Complete Genome	2022-07-13		3292782	3292782	2	Illumina MiSeq; Nanopore	99.95	1.85
GCA_024347575.1	ASM2434757v1	Vibrio pelagius	28169		ATCC 25916						4963975	Complete Genome	2022-07-13		3187009	3187009	3	Illumina MiSeq; Nanopore	99.55	1.69
GCF_024347575.1	ASM2434757v1	Vibrio pelagius	28169		ATCC 25916					GCF_024347575.1-RS_2024_03_29	4963975	Complete Genome	2022-07-13		3187009	3187009	3	Illumina MiSeq; Nanopore	99.55	1.69
GCA_024347655.1	ASM2434765v1	Vibrio toranzoniae	1194427		CECT 7225						4605952	Complete Genome	2022-07-13		3169590	3169590	2	Illumina MiSeq; Nanopore	99.8	0.53
GCF_024347655.1	ASM2434765v1	Vibrio toranzoniae	1194427		CECT 7225					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4605952	Complete Genome	2022-07-13		3169590	3169590	2	Illumina MiSeq; Nanopore	99.8	0.53
GCA_024346755.1	ASM2434675v1	Vibrio aerogenes	92172		LMG 19650						5368019	Complete Genome	2022-07-13		3934686	3934686	3	Illumina MiSeq and Nanopore	89.59	4.47
GCF_024346755.1	ASM2434675v1	Vibrio aerogenes	92172		LMG 19650					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5368019	Complete Genome	2022-07-13		3934686	3934686	3	Illumina MiSeq and Nanopore	89.59	4.47
GCA_024346835.1	ASM2434683v1	Vibrio comitans	413401		LMG 23416						4517303	Complete Genome	2022-07-13		3011658	3011658	3	Illumina MiSeq and Nanopore	93.93	0.95
GCF_024346835.1	ASM2434683v1	Vibrio comitans	413401		LMG 23416					GCF_024346835.1-RS_2024_04_02	4517303	Complete Genome	2022-07-13		3011658	3011658	3	Illumina MiSeq and Nanopore	93.93	0.95
GCA_024346935.1	ASM2434693v1	Vibrio inusitatus	413402		LMG 23434						4414459	Complete Genome	2022-07-13		2861464	2861464	3	Illumina MiSeq and Nanopore	92.82	1.5
GCF_024346935.1	ASM2434693v1	Vibrio inusitatus	413402		LMG 23434					GCF_024346935.1-RS_2024_03_25	4414459	Complete Genome	2022-07-13		2861464	2861464	3	Illumina MiSeq and Nanopore	92.82	1.5
GCA_002218045.2	ASM221804v2	Vibrio rumoiensis	76258		FERM P-14531						4207152	Complete Genome	2018-06-06		2768302	2768302	4	Illumina MiSeq; ONT MinION	92.97	1.28
GCF_002218045.2	ASM221804v2	Vibrio rumoiensis	76258		FERM P-14531					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4207152	Complete Genome	2018-06-06		2768302	2768302	4	Illumina MiSeq; ONT MinION	92.97	1.28
GCA_024347135.1	ASM2434713v1	Vibrio spartinae	1918945		CECT 9026						5192394	Complete Genome	2022-07-13		4003627	4003627	2	Illumina MiSeq and Nanopore	91.4	3.32
GCF_024347135.1	ASM2434713v1	Vibrio spartinae	1918945		CECT 9026					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5192394	Complete Genome	2022-07-13		4003627	4003627	2	Illumina MiSeq and Nanopore	91.4	3.32
GCA_024346715.1	ASM2434671v1	Photobacterium swingsii	680026		CECT 7576						5650079	Complete Genome	2022-07-13		3818500	3818500	2	Illumina MiSeq and Nanopore	96.38	2.66
GCF_024346715.1	ASM2434671v1	Photobacterium swingsii	680026		CECT 7576					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5650079	Complete Genome	2022-07-13		3818500	3818500	2	Illumina MiSeq and Nanopore	96.38	2.66
GCA_023746615.1	ASM2374661v1	Grimontia kaedaensis	2872157		020920N					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5519219	Complete Genome	2022-06-16		3758658	3758658	3	Illumina MiniSeq; Oxford Nanopore	99.66	0.79
GCF_023746615.1	ASM2374661v1	Grimontia kaedaensis	2872157		020920N					GCF_023746615.1-RS_2024_07_01	5519219	Complete Genome	2022-06-16		3758658	3758658	3	Illumina MiniSeq; Oxford Nanopore	99.66	0.79
GCA_024346675.1	ASM2434667v1	Photobacterium sanguinicancri	875932		CECT 7579						5547475	Complete Genome	2022-07-13		3700364	3700364	2	Illumina MiSeq and Nanopore	96.31	3.09
GCF_024346675.1	ASM2434667v1	Photobacterium sanguinicancri	875932		CECT 7579					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5547475	Complete Genome	2022-07-13		3700364	3700364	2	Illumina MiSeq and Nanopore	96.31	3.09
GCA_024346955.1	ASM2434695v1	Vibrio mangrovi	474394		CECT 7927						5007139	Complete Genome	2022-07-13		3674542	3674542	2	Illumina MiSeq and Nanopore	92.53	3.16
GCF_024346955.1	ASM2434695v1	Vibrio mangrovi	474394		CECT 7927					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5007139	Complete Genome	2022-07-13		3674542	3674542	2	Illumina MiSeq and Nanopore	92.53	3.16
GCA_014879975.1	ASM1487997v1	Vibrio bathopelagicus	2777577		Sal10						5668207	Complete Genome	2020-10-12		3649238	3649238	2	Illumina MiSeq; Oxford Nanopore MinION	99.08	0.95
GCF_014879975.1	ASM1487997v1	Vibrio bathopelagicus	2777577		Sal10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5668207	Complete Genome	2020-10-12		3649238	3649238	2	Illumina MiSeq; Oxford Nanopore MinION	99.08	0.95
GCA_024347595.1	ASM2434759v1	Vibrio pomeroyi	198832		LMG 20537						5659581	Complete Genome	2022-07-13		3635862	3635862	2	Illumina MiSeq; Nanopore	99.87	1.37
GCF_024347595.1	ASM2434759v1	Vibrio pomeroyi	198832		LMG 20537					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5659581	Complete Genome	2022-07-13		3635862	3635862	2	Illumina MiSeq; Nanopore	99.87	1.37
GCA_019703835.1	ASM1970383v1	Thaumasiovibrio subtropicus	1891207		C4V358						5557717	Complete Genome	2021-06-04		3621685	3621685	3	Illumina MiSeq; ONT MinION	97.09	1.64
GCF_019703835.1	ASM1970383v1	Thaumasiovibrio subtropicus	1891207		C4V358					GCF_019703835.1-RS_2024_06_17	5557717	Complete Genome	2021-06-04		3621685	3621685	3	Illumina MiSeq; ONT MinION	97.09	1.64
GCA_024347455.1	ASM2434745v1	Vibrio echinoideorum	2100116		DSM 107264						5738118	Complete Genome	2022-07-13		3599125	3599125	4	Illumina MiSeq; Nanopore	99.74	1.16
GCF_024347455.1	ASM2434745v1	Vibrio echinoideorum	2100116		DSM 107264					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5738118	Complete Genome	2022-07-13		3599125	3599125	4	Illumina MiSeq; Nanopore	99.74	1.16
GCA_024347095.1	ASM2434709v1	Vibrio rhizosphaerae	398736		LMG 23790						4557402	Complete Genome	2022-07-13		3506364	3506364	2	Illumina MiSeq and Nanopore	90.98	3.29
GCF_024347095.1	ASM2434709v1	Vibrio rhizosphaerae	398736		LMG 23790					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4557402	Complete Genome	2022-07-13		3506364	3506364	2	Illumina MiSeq and Nanopore	90.98	3.29
GCA_019226825.1	ASM1922682v1	Vibrio ostreae	2841925		OG9-811					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4807684	Complete Genome	2021-07-15		3397178	3397178	2	Oxford Nanopore MinION	93.92	3.52
GCF_019226825.1	ASM1922682v1	Vibrio ostreae	2841925		OG9-811					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4807684	Complete Genome	2021-07-15		3397178	3397178	2	Oxford Nanopore MinION	93.92	3.52
GCA_002119525.1	ASM211952v1	Vibrio syngnathi	3034029		K08M4					Annotation submitted by Goettingen Genomics Laboratory	4886292	Complete Genome	2017-05-09		3298328	3298328	2	PacBio	99.96	1.24
GCF_002119525.1	ASM211952v1	Vibrio syngnathi	3034029		K08M4					GCF_002119525.1-RS_2024_07_08	4886292	Complete Genome	2017-05-09		3298328	3298328	2	PacBio	99.96	1.24
GCA_009938205.1	ASM993820v1	Vibrio panuliri	1381081		JCM 19500						4855939	Complete Genome	2020-01-06		3237261	3237261	3	Illumina MiSeq; ONT MinION	99.69	1.52
GCF_009938205.1	ASM993820v1	Vibrio panuliri	1381081		JCM 19500					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4855939	Complete Genome	2020-01-06		3237261	3237261	3	Illumina MiSeq; ONT MinION	99.69	1.52
GCA_024347015.1	ASM2434701v1	Vibrio pectenicida	62763		LMG 19642						4539399	Complete Genome	2022-07-13		3227122	3227122	4	Illumina MiSeq and Nanopore	95.71	0.5
GCF_024347015.1	ASM2434701v1	Vibrio pectenicida	62763		LMG 19642					GCF_024347015.1-RS_2024_04_02	4539399	Complete Genome	2022-07-13		3227122	3227122	4	Illumina MiSeq and Nanopore	95.71	0.5
GCA_011064285.1	ASM1106428v1	Vibrio ziniensis	2711221		ZWAL4003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4650556	Complete Genome	2020-03-04		3207372	3207372	2	PacBio; Illumina HiSeq	98.91	2.3
GCF_011064285.1	ASM1106428v1	Vibrio ziniensis	2711221		ZWAL4003					GCF_011064285.1-RS_2024_05_05	4650556	Complete Genome	2020-03-04		3207372	3207372	2	PacBio; Illumina HiSeq	98.91	2.3
GCA_009363415.1	ASM936341v1	Vibrio aquimaris	2587862		THAF100					Annotation submitted by Uni Bielefeld	4501013	Complete Genome	2019-10-28		3138671	3138671	4	Illumina MiSeq, Oxford Nanopore GridION	96.21	0.65
GCF_009363415.1	ASM936341v1	Vibrio aquimaris	2587862		THAF100					GCF_009363415.1-RS_2024_05_05	4501013	Complete Genome	2019-10-28		3138671	3138671	4	Illumina MiSeq, Oxford Nanopore GridION	96.21	0.65
GCA_024347395.1	ASM2434739v1	Vibrio cortegadensis	1328770		CECT 7227						4668569	Complete Genome	2022-07-13		3116092	3116092	4	Illumina MiSeq; Nanopore	98.11	0.27
GCF_024347395.1	ASM2434739v1	Vibrio cortegadensis	1328770		CECT 7227					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4668569	Complete Genome	2022-07-13		3116092	3116092	4	Illumina MiSeq; Nanopore	98.11	0.27
GCA_024347295.1	ASM2434729v1	Vibrio artabrorum	446374		CECT 7226						4443332	Complete Genome	2022-07-13		3104862	3104862	2	Illumina MiSeq; Nanopore	98.73	1.68
GCF_024347295.1	ASM2434729v1	Vibrio artabrorum	446374		CECT 7226					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4443332	Complete Genome	2022-07-13		3104862	3104862	2	Illumina MiSeq; Nanopore	98.73	1.68
GCA_024529955.1	ASM2452995v1	Photobacterium toruni	1935446		CECT 9189						4499923	Complete Genome	2022-07-13		3009243	3009243	7	Illumina MiSeq; Nanopore	96.02	0.85
GCF_024529955.1	ASM2452995v1	Photobacterium toruni	1935446		CECT 9189					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4499923	Complete Genome	2022-07-13		3009243	3009243	7	Illumina MiSeq; Nanopore	96.02	0.85
GCA_024347675.1	ASM2434767v1	Vibrio ishigakensis	1481914		JCM 19231						4785997	Complete Genome	2022-07-13		2969692	2969692	2	Illumina MiSeq and Nanopore	93.46	2.71
GCF_024347675.1	ASM2434767v1	Vibrio ishigakensis	1481914		C1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4785997	Complete Genome	2022-07-13		2969692	2969692	2	Illumina MiSeq and Nanopore	93.46	2.71
GCA_003716875.1	ASM371687v1	Vibrio zhugei	2479546		HBUAS61001						4009379	Complete Genome	2018-11-07		2901449	2901449	2	PacBio; Illumina	89.15	0.77
GCF_003716875.1	ASM371687v1	Vibrio zhugei	2479546		HBUAS61001					GCF_003716875.1-RS_2024_04_05	4009379	Complete Genome	2018-11-07		2901449	2901449	2	PacBio; Illumina	89.15	0.77
GCA_002257545.1	ASM225754v1	Vibrio qinghaiensis	2025808		Q67					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4017713	Complete Genome	2017-08-16		2872911	2872911	2	PacBio	99.51	0.52
GCF_002257545.1	ASM225754v1	Vibrio qinghaiensis	2025808		Q67					GCF_002257545.1-RS_2024_04_22	4017713	Complete Genome	2017-08-16		2872911	2872911	2	PacBio	99.51	0.52
GCA_024347075.1	ASM2434707v1	Vibrio rarus	413403		LMG 23674						3877193	Complete Genome	2022-07-13		2846978	2846978	3	Illumina MiSeq and Nanopore	90.96	1.34
GCF_024347075.1	ASM2434707v1	Vibrio rarus	413403		LMG 23674					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3877193	Complete Genome	2022-07-13		2846978	2846978	3	Illumina MiSeq and Nanopore	90.96	1.34
GCA_024582835.1	ASM2458283v1	Vibrio japonicus	1824638		JCM 31412					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4235444	Complete Genome	2022-08-07		2783552	2783552	3	Illumina NextSeq; Oxford Nanopore MinION	98.9	1.29
GCF_024582835.1	ASM2458283v1	Vibrio japonicus	1824638		JCM 31412					GCF_024582835.1-RS_2024_08_21	4235444	Complete Genome	2022-08-07		2783552	2783552	3	Illumina NextSeq; Oxford Nanopore MinION	98.9	1.29
GCA_024346975.1	ASM2434697v1	Vibrio neonatus	278860		JCM 21521						3840645	Complete Genome	2022-07-13		2746110	2746110	2	Illumina MiSeq and Nanopore	92.15	1.23
GCF_024346975.1	ASM2434697v1	Vibrio neonatus	278860		JCM 21521					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3840645	Complete Genome	2022-07-13		2746110	2746110	2	Illumina MiSeq and Nanopore	92.15	1.23
GCA_024346995.1	ASM2434699v1	Vibrio palustris	1918946		CECT 9027						3736840	Complete Genome	2022-07-13		2654073	2654073	2	Illumina MiSeq and Nanopore	90.12	0.73
GCF_024346995.1	ASM2434699v1	Vibrio palustris	1918946		CECT 9027					GCF_024346995.1-RS_2024_03_28	3736840	Complete Genome	2022-07-13		2654073	2654073	2	Illumina MiSeq and Nanopore	90.12	0.73
GCA_026001925.1	ASM2600192v1	Vibrio gangliei	2077090		DSM 104291						3667293	Complete Genome	2022-10-20		2595401	2595401	3	Illumina HiSeq; ONT MinION	93.1	1.42
GCF_026001925.1	ASM2600192v1	Vibrio gangliei	2077090		DSM 104291					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3667293	Complete Genome	2022-10-20		2595401	2595401	3	Illumina HiSeq; ONT MinION	93.1	1.42
GCA_024346875.1	ASM2434687v1	Vibrio gallicus	190897		CIP 107863						3518157	Complete Genome	2022-07-13		2528163	2528163	2	Illumina MiSeq and Nanopore	92.03	1.01
GCF_024346875.1	ASM2434687v1	Vibrio gallicus	190897		CIP 107863					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3518157	Complete Genome	2022-07-13		2528163	2528163	2	Illumina MiSeq and Nanopore	92.03	1.01
GCA_009601765.2	ASM960176v2	Vibrio algicola	2662262		SM1977						3512181	Complete Genome	2020-07-06		2518765	2518765	3	PacBio RS	90.15	0.42
GCF_009601765.2	ASM960176v2	Vibrio algicola	2662262		SM1977					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3512181	Complete Genome	2020-07-06		2518765	2518765	3	PacBio RS	90.15	0.42
GCA_002157735.2	ASM215773v2	Vibrio aphrogenes	1891186		CA-1004						3375144	Complete Genome	2018-06-06		2494640	2494640	2	Illumina MiSeq; ONT MinION	91.65	1.63
GCF_002157735.2	ASM215773v2	Vibrio aphrogenes	1891186		CA-1004					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3375144	Complete Genome	2018-06-06		2494640	2494640	2	Illumina MiSeq; ONT MinION	91.65	1.63
GCA_002216855.1	ASM221685v1	Paraphotobacterium marinum	1755811		NSCS20N07D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2593992	Complete Genome	2017-07-12		1426504	1426504	3	PacBio	65.19	1.56
GCF_002216855.1	ASM221685v1	Paraphotobacterium marinum	1755811		NSCS20N07D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2593992	Complete Genome	2017-07-12		1426504	1426504	3	PacBio	65.19	1.56
GCA_002849855.1	ASM284985v1	Vibrio azureus	512649		LC2-005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4833901	Chromosome	2018-01-03		3027709	3027809	4	454	97.67	0.5
GCF_002849855.1	ASM284985v1	Vibrio azureus	512649		LC2-005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4833901	Chromosome	2018-01-03		3027709	3027809	4	454	97.67	0.5
GCA_024529975.1	ASM2452997v1	Vibrio quintilis	1117707		CECT 7734						5850270	Chromosome	2022-07-13		4117920	4117920	3	Illumina MiSeq; Nanopore	89.54	4.65
GCF_024529975.1	ASM2452997v1	Vibrio quintilis	1117707		CECT 7734					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5850270	Chromosome	2022-07-13		4117920	4117920	3	Illumina MiSeq; Nanopore	89.54	4.65
GCA_001695575.1	ASM169557v1	Vibrio europaeus	300876		PP-638					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5469456	Scaffold	2016-09-07	LUAX01	1788614	1788614	10	Illumina MiSeq	99.96	0.8
GCF_001695575.1	ASM169557v1	Vibrio europaeus	300876		PP-638					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5469456	Scaffold	2016-09-07	LUAX01	1788614	1788614	10	Illumina MiSeq	99.96	0.8
GCA_900460385.1	42650_F01	Vibrio mimicus	674		NCTC11435					Annotation submitted by SC	4443087	Contig	2018-08-01	UHIG01	2982507				99.07	1.81
GCF_900460385.1	42650_F01	Vibrio mimicus	674		NCTC11435					GCF_900460385.1-RS_2024_03_28	4443087	Contig	2018-08-01	UHIG01	2982507				99.07	1.81
GCA_001996185.1	ASM199618v1	Salinivibrio costicola subsp. alcaliphilus	272773		DSM 16359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3381657	Contig	2017-02-14	MUFR01	74560			Illumina HiSeq	92.63	0.15
GCF_001996185.1	ASM199618v1	Salinivibrio costicola subsp. alcaliphilus	272773		DSM 16359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3381657	Contig	2017-02-14	MUFR01	74560			Illumina HiSeq	92.63	0.15
